App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
6075464,HDR,05/27/2024,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,08/02/2024 05:00:05 PM
6073898,HDR,05/03/2024,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed,08/02/2024 05:00:05 PM
6076640,HDR,06/14/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6077545,HDR,07/01/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6077303,HDR,06/26/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6075250,HDR,05/22/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,08/02/2024 05:00:05 PM
6076193,HDR,06/07/2024,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6077013,HDR,06/21/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6078106,HDR,07/10/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6073109,HDR,04/23/2024,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6076223,HDR,06/07/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6078460,HDR,07/16/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6077096,HDR,06/23/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6077861,HDR,07/07/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6074671,HDR,05/15/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6074022,HDR,05/06/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6076722,HDR,06/16/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed,08/02/2024 05:00:05 PM
6074480,HDR,05/13/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6077080,HDR,06/22/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6076913,HDR,06/19/2024,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,08/02/2024 05:00:05 PM
6078329,HDR,07/15/2024,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6076814,HDR,06/18/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,08/02/2024 05:00:05 PM
6077503,HDR,06/29/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6074920,HDR,05/18/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6079270,HDR,07/31/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,08/02/2024 05:00:05 PM
6078121,HDR,07/11/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6077323,HDR,06/26/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6076985,HDR,06/20/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,08/02/2024 05:00:05 PM
6077658,HDR,07/02/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Copy of DMV license needed,08/02/2024 05:00:05 PM
6078771,HDR,07/22/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6076543,HDR,06/13/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6077383,HDR,06/27/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,08/02/2024 05:00:05 PM
6078178,HDR,07/12/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6077599,HDR,07/01/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,08/02/2024 05:00:05 PM
6079350,HDR,08/01/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6077600,HDR,07/01/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,08/02/2024 05:00:05 PM
6077572,HDR,07/01/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6076979,HDR,06/20/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6078637,HDR,07/19/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,08/02/2024 05:00:05 PM
6076961,HDR,06/20/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Not Applicable,08/02/2024 05:00:05 PM
6075598,HDR,05/28/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6078789,HDR,07/22/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6078995,HDR,07/25/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6076106,HDR,06/05/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6077359,HDR,06/27/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6075423,HDR,05/25/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6078933,HDR,07/25/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6078465,HDR,07/17/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6074305,HDR,05/09/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6079222,HDR,07/30/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6078808,HDR,07/22/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6078177,HDR,07/12/2024,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6074403,HDR,05/11/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6075330,HDR,05/23/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,08/02/2024 05:00:05 PM
6077620,HDR,07/01/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6078977,HDR,07/25/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6074571,HDR,05/14/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6075659,HDR,05/29/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,08/02/2024 05:00:05 PM
6075781,HDR,05/31/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6076292,HDR,06/09/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6078300,HDR,07/14/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,08/02/2024 05:00:05 PM
6072315,HDR,04/12/2024,Denied,Not Applicable,Complete,Needed,Needed,Needed,Complete,Copy of DMV license needed,08/02/2024 05:00:05 PM
6073916,HDR,05/04/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6074427,HDR,05/11/2024,Incomplete,Not Applicable,Complete,Needed,Needed,Complete,Complete,Fingerprints needed,08/02/2024 05:00:05 PM
6077368,HDR,06/27/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6075713,HDR,05/30/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6074646,HDR,05/15/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6076927,HDR,06/20/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6076870,HDR,06/19/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6078659,HDR,07/19/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,08/02/2024 05:00:05 PM
6075164,HDR,05/21/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,08/02/2024 05:00:05 PM
6078693,HDR,07/20/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Not Applicable,08/02/2024 05:00:05 PM
6073663,HDR,04/30/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6076783,HDR,06/17/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6077397,HDR,06/27/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6078890,HDR,07/24/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Copy of DMV license needed,08/02/2024 05:00:05 PM
6076427,HDR,06/11/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,08/02/2024 05:00:05 PM
6077768,HDR,07/04/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6078997,HDR,07/25/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Fingerprints needed,08/02/2024 05:00:05 PM
6074949,HDR,05/19/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6072412,HDR,04/13/2024,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6078535,HDR,07/18/2024,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information,08/02/2024 05:00:05 PM
6078781,HDR,07/22/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6078248,PDR,07/13/2024,Incomplete,Not Applicable,Not Applicable,Not Applicable,Needed,Not Applicable,Not Applicable,Fingerprints needed,08/02/2024 05:00:05 PM
6077670,HDR,07/02/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6074332,HDR,05/09/2024,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Copy of DMV license needed,08/02/2024 05:00:05 PM
6076706,HDR,06/15/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6078691,HDR,07/20/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,08/02/2024 05:00:05 PM
6077464,HDR,06/28/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6074973,HDR,05/20/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,08/02/2024 05:00:05 PM
6079419,HDR,08/02/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6077699,HDR,07/03/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,08/02/2024 05:00:05 PM
6077552,HDR,07/01/2024,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6078280,HDR,07/14/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6077485,HDR,06/29/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,08/02/2024 05:00:05 PM
6078123,HDR,07/11/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6073881,HDR,05/03/2024,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6077831,HDR,07/05/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6078754,HDR,07/22/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6076761,HDR,06/17/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,08/02/2024 05:00:05 PM
6076061,HDR,06/05/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6078256,HDR,07/13/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6073485,HDR,04/28/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6079104,HDR,07/28/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6072608,HDR,04/16/2024,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,08/02/2024 05:00:05 PM
6075671,HDR,05/29/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Not Applicable,08/02/2024 05:00:05 PM
6076159,HDR,06/06/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6074351,HDR,05/10/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6078597,HDR,07/19/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6078091,HDR,07/10/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6074490,HDR,05/13/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,08/02/2024 05:00:05 PM
6078100,HDR,07/10/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6076055,HDR,06/05/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6078727,HDR,07/21/2024,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,08/02/2024 05:00:05 PM
6078832,HDR,07/23/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6077929,HDR,07/08/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6078537,HDR,07/18/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,08/02/2024 05:00:05 PM
6076572,HDR,06/13/2024,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6078723,HDR,07/21/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6079009,HDR,07/26/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,08/02/2024 05:00:05 PM
6077309,HDR,06/26/2024,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6077531,HDR,06/30/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6076518,HDR,06/12/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6077761,HDR,07/04/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6073917,HDR,05/04/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6076471,HDR,06/12/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6073378,HDR,04/26/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,08/02/2024 05:00:05 PM
6078360,HDR,07/15/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,08/02/2024 05:00:05 PM
6078369,HDR,07/15/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,08/02/2024 05:00:05 PM
6076529,HDR,06/12/2024,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,08/02/2024 05:00:05 PM
6073215,HDR,04/24/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
6077439,HDR,06/28/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,08/02/2024 05:00:05 PM
